route,product_area,entry_modes,navigated_by,current_return_mechanism,expected_return_semantic,visible_affordance,system_back_effective,deeplink_fallback,context_preservation,mobile_viable,classification,required_correction,widget,file
/announcements/:slug,publication,in-app|deep-link|notification|external-link,go=4 push=4,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,yes,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,AnnouncementDetailScreen,lib/features/announcements/presentation/announcement_detail_screen.dart
/meet/:slug,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,go(fixed),TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,PublicBookingScreen,lib/features/meetings/presentation/public_booking_screen.dart
/meet/:slug/book,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,none,TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,BookingRouteEntry,lib/features/meetings/presentation/booking_route_entry.dart
/search,discover,in-app|deep-link,go=3 push=1,go(fixed),PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,_DiscoverSearchEntryPoint,lib/router.dart
/discover,discover,in-app|deep-link,go=2,none,ROOT_NO_RETURN,no,no — reached by go(),n/a,ok,yes,ROOT_NO_RETURN_REQUIRED,primary destination,DiscoverScreen,lib/features/discover/presentation/discover_screen.dart
/posts/:id,publication,in-app|deep-link|notification|external-link,go=1 push=3,own back icon; pop()+canPop; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,yes,yes,ok,yes,COMPLIANT,own affordance + stack-aware pop,PostDetailScreen,lib/features/posts/presentation/post_detail_screen.dart
/media/:id/restricted,me/identity,in-app|deep-link|notification|external-link,not-navigated-by-literal,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,unknown,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,RestrictedMediaScreen,lib/features/media_governance/presentation/restricted_media_screen.dart
/thread/:id,other,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,unknown,yes,ok,yes,COMPLIANT,own affordance + stack-aware pop,ThreadScreen,lib/features/public/presentation/thread_screen.dart
/spaces,other,in-app|deep-link,go=3 push=1,none,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,SpacesDiscoveryScreen,lib/features/public/presentation/spaces_discovery_screen.dart
/spaces/:slug,other,in-app|deep-link|notification|external-link,push=2,go(fixed),STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,yes,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,SpaceDetailScreen,lib/features/public/presentation/space_detail_screen.dart
/aura/participation,other,in-app|deep-link,push=2,none,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,TransparencyScreen,lib/features/public/presentation/transparency_screen.dart
/author/:handle,other,in-app|deep-link|notification|external-link,push=1,none,n/a,no,yes,yes,ok,yes,NOT_A_SURFACE,redirect-only route,,
/u/:handle,directory/profile,in-app|deep-link|notification|external-link,push=4,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,yes,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,AuthorProfileScreen,lib/features/profile/presentation/author_profile_screen.dart
/u/:handle/followers,directory/profile,in-app|deep-link|notification|external-link,push=2,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,yes,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,FollowersScreen,lib/features/profile/presentation/followers_screen.dart
/u/:handle/following,directory/profile,in-app|deep-link|notification|external-link,push=2,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,yes,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,FollowingScreen,lib/features/profile/presentation/following_screen.dart
/support/:handle,other,in-app|deep-link|notification|external-link,not-navigated-by-literal,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,unknown,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,SupportFallbackScreen,lib/screens/support_fallback_screen.dart
/login,machinery/gate,in-app|deep-link,go=5 push=1,own back icon,governed by RC4 destination continuity,yes,yes,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,AuthScreen,lib/features/auth/presentation/auth_screen.dart
/register,machinery/gate,in-app|deep-link,go=2 push=1,go(fixed),governed by RC4 destination continuity,no,yes,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,RegisterScreen,lib/features/auth/presentation/register_screen.dart
/forgot-password,machinery/gate,in-app|deep-link,not-navigated-by-literal,none,governed by RC4 destination continuity,no,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,ForgotPasswordScreen,lib/features/auth/presentation/forgot_password_screen.dart
/reset-password,machinery/gate,in-app|deep-link,not-navigated-by-literal,none,governed by RC4 destination continuity,no,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,ResetPasswordScreen,lib/features/auth/presentation/reset_password_screen.dart
/verify-email,other,in-app|deep-link,not-navigated-by-literal,go(fixed),PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,VerifyEmailScreen,lib/features/auth/presentation/verify_email_screen.dart
/verify-pending,machinery/gate,in-app|deep-link,go=1,go(fixed),governed by RC4 destination continuity,no,no — reached by go(),n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,VerifyPendingScreen,lib/features/auth/presentation/verify_pending_screen.dart
/complete-identity,machinery/gate,in-app|deep-link,not-navigated-by-literal,none,governed by RC4 destination continuity,no,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,IdentityBaselineScreen,lib/features/auth/presentation/identity_baseline_screen.dart
/home,other,in-app|deep-link,go=9,none,ROOT_NO_RETURN,no,no — reached by go(),n/a,ok,yes,ROOT_NO_RETURN_REQUIRED,primary destination,MemberHomeScreen,lib/features/home/presentation/member_home_screen.dart
/institution/:institutionId/meetings,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingsHomeScreen,lib/features/meetings/presentation/meetings_home_screen.dart
/institution/:institutionId/meetings/new,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,CreateMeetingScreen,lib/features/meetings/presentation/create_meeting_screen.dart
/meetings/join,meetings/live (protected),in-app|deep-link,go=3,shared page showBack; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,no — reached by go(),n/a,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingJoinFallbackScreen,lib/features/meetings/presentation/meeting_join_fallback_screen.dart
/meetings/keep,meetings/live (protected),in-app|deep-link,not-navigated-by-literal,go(fixed),TERMINAL_EXIT / governed by its own domain,no,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,KeepMeetingScreen,lib/features/meetings/presentation/keep_meeting_screen.dart
/meetings/join-error,meetings/live (protected),in-app|deep-link,not-navigated-by-literal,shared page showBack; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingJoinErrorScreen,lib/features/meetings/presentation/meeting_join_error_screen.dart
/meetings/join/:code,meetings/live (protected),in-app|deep-link|notification|external-link,go=2 push=1,shared page showBack; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,yes,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,PreJoinScreen,lib/features/meetings/presentation/pre_join_screen.dart
/meetings/:id,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/meetings/:meetingId/prep,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/meetings/:meetingId/room,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/meetings/:meetingId/waiting,meetings/live (protected),in-app|deep-link|notification|external-link,go=1,shared page showBack; pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,yes,no — reached by go(),yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,GuestWaitingRoomScreen,lib/features/meetings/presentation/guest_waiting_room_screen.dart
/meetings/:meetingId/live,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingLiveRoomScreen,lib/features/meetings/presentation/meeting_live_room_screen.dart
/meetings/:meetingId/summary,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/meetings/:meetingId/post-meeting,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/meetings/:meetingId,institution,in-app|deep-link|notification|external-link,go=2,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,no — reached by go(),yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/meetings/:meetingId/prep,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/meetings/:meetingId/room,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/meetings/:meetingId/waiting,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,shared page showBack; pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,GuestWaitingRoomScreen,lib/features/meetings/presentation/guest_waiting_room_screen.dart
/institution/:institutionId/meetings/:meetingId/live,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop() UNGUARDED,TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingLiveRoomScreen,lib/features/meetings/presentation/meeting_live_room_screen.dart
/institution/:institutionId/meetings/:meetingId/summary,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/meetings/:meetingId/post-meeting,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop; go(fixed),TERMINAL_EXIT / governed by its own domain,yes,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,MeetingDetailScreen,lib/features/meetings/presentation/meeting_detail_screen.dart
/institution/:institutionId/availability,institution,in-app|deep-link|notification|external-link,not-navigated-by-literal,pop() UNGUARDED,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,unknown,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,InstitutionAvailabilityScreen,lib/features/meetings/presentation/institution_availability_screen.dart
/i/:institutionSlug/meet/:bookingSlug,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,go(fixed),TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,InstitutionPublicBookingScreen,lib/features/meetings/presentation/public_booking_screen.dart
/i/:institutionSlug/meet/cancel/:token,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,go(fixed),TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,BookingCancelScreen,lib/features/meetings/presentation/booking_cancel_screen.dart
/meet/cancel/:token,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,go(fixed),TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,BookingCancelScreen,lib/features/meetings/presentation/booking_cancel_screen.dart
/i/:institutionSlug/meet/reschedule/:token,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,none,TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,RescheduleRouteEntry,lib/features/meetings/presentation/booking_route_entry.dart
/meet/reschedule/:token,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,none,TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,RescheduleRouteEntry,lib/features/meetings/presentation/booking_route_entry.dart
/i/:institutionSlug/meet/:bookingSlug/book,meetings/live (protected),in-app|deep-link|notification|external-link,not-navigated-by-literal,none,TERMINAL_EXIT / governed by its own domain,no,unknown,yes,ok,yes,PROTECTED_BOUNDARY,Meetings/Live — audit only,BookingRouteEntry,lib/features/meetings/presentation/booking_route_entry.dart
/messages,conversation,in-app|deep-link,not-navigated-by-literal,none,ROOT_NO_RETURN,no,unknown,n/a,ok,yes,ROOT_NO_RETURN_REQUIRED,primary destination,MessagesScreen,lib/features/conversation/presentation/messages_screen.dart
/messages/new,conversation,in-app|deep-link,not-navigated-by-literal,none,PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,NewConversationPicker,lib/features/conversation/presentation/new_conversation_picker.dart
/messages/c/:conversationId,conversation,in-app|deep-link|notification|external-link,replace=1,own back icon; pop()+canPop,STACK_RETURN with PARENT_RETURN fallback,yes,unknown,yes,ok,yes,COMPLIANT,own affordance + stack-aware pop,ConversationScreen,lib/features/conversation/presentation/conversation_screen.dart
/discover/people,discover,in-app|deep-link,not-navigated-by-literal,none,PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,PeopleDiscoveryScreen,lib/features/discover/presentation/people_discovery_screen.dart
/discover/articles,discover,in-app|deep-link,not-navigated-by-literal,none,PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,ArticlesDiscoveryScreen,lib/features/discover/presentation/articles_discovery_screen.dart
/discover/institutions,discover,in-app|deep-link,not-navigated-by-literal,none,PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,InstitutionsDiscoveryScreen,lib/features/discover/presentation/institutions_discovery_screen.dart
/articles/write,publication,in-app|deep-link,not-navigated-by-literal,own back icon; pop()+canPop,STACK_RETURN with PARENT_RETURN fallback,yes,unknown,n/a,ok,yes,COMPLIANT,own affordance + stack-aware pop,ArticleEditorScreen,lib/features/articles/presentation/article_editor_screen.dart
/articles/write/:articleId,publication,in-app|deep-link|notification|external-link,not-navigated-by-literal,own back icon; pop()+canPop,STACK_RETURN with PARENT_RETURN fallback,yes,unknown,yes,ok,yes,COMPLIANT,own affordance + stack-aware pop,ArticleEditorScreen,lib/features/articles/presentation/article_editor_screen.dart
/articles/:slug,publication,in-app|deep-link|notification|external-link,not-navigated-by-literal,none,STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,unknown,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,ArticleScreen,lib/features/articles/presentation/article_screen.dart
/i/:token,other,in-app|deep-link|notification|external-link,not-navigated-by-literal,go(fixed),STACK_RETURN + DEEP_LINK_FALLBACK to a canonical parent,no,unknown,MISSING,unknown,NO,DEEPLINK_ESCAPE_MISSING,addressable detail with no product-owned return,ClaimInvitationScreen,lib/features/conversation/presentation/claim_invitation_screen.dart
/messages/direct,conversation,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/messages/direct/archived,conversation,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/create,other,in-app|deep-link,not-navigated-by-literal,go(fixed),ROOT_NO_RETURN,no,unknown,n/a,ok,yes,ROOT_NO_RETURN_REQUIRED,primary destination,CreateHubScreen,lib/features/create/presentation/create_hub_screen.dart
/saved,other,in-app|deep-link,go=1,none,PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,SavedScreen,lib/features/saves/presentation/saved_screen.dart
/updates,other,in-app|deep-link,go=1,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,UpdatesScreen,lib/features/updates/presentation/updates_screen.dart
/conversations,other,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/activity,other,in-app|deep-link,not-navigated-by-literal,none,PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,ActivityScreen,lib/features/activity/presentation/activity_screen.dart
/ai/claim-audit,other,in-app|deep-link,go=1,none,PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,ClaimAuditScreen,lib/features/ai/presentation/claim_audit_screen.dart
/me,me/identity,in-app|deep-link,go=2 push=1,none,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,MeScreen,lib/features/me/presentation/me_screen.dart
/me/edit,me/identity,in-app|deep-link,push=4,pop() UNGUARDED; PopScope,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,EditProfileScreen,lib/features/me/presentation/edit_profile_screen.dart
/security,other,in-app|deep-link,go=1 push=2,pop() UNGUARDED; go(fixed),PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,SecurityScreen,lib/features/me/presentation/security_screen.dart
/devices,other,in-app|deep-link,push=1,pop() UNGUARDED,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,DevicesScreen,lib/features/devices/presentation/devices_screen.dart
/change-password,other,in-app|deep-link,go=1,AppBar; pop() UNGUARDED,STACK_RETURN needs a PARENT_RETURN fallback,yes,no — reached by go(),n/a,unknown,NO,WRONG_RETURN_SEMANTICS,affordance pops without checking the stack,ChangePasswordScreen,lib/features/me/presentation/change_password_screen.dart
/settings/communications,other,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/me/settings/communications,me/identity,in-app|deep-link,go=1,none,PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,CommunicationsCenterScreen,lib/features/communications/presentation/communications_center_screen.dart
/me/follow-requests,me/identity,in-app|deep-link,push=2,own back icon,STACK_RETURN,yes,yes,n/a,ok,yes,COMPLIANT,own affordance,FollowRequestsScreen,lib/features/profile/presentation/follow_requests_screen.dart
/me/invitations,me/identity,in-app|deep-link,go=1 push=2,none,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,InvitationsScreen,lib/features/invitations/presentation/invitations_screen.dart
